INFO: Waiting for solution ...
INFO: Algorithm took 0.004 seconds.
INFO: Step 001 - from (1, 3) to (1, 2) ; cost 1
INFO: Step 002 - from (1, 2) to (3, 2) ; cost 2
INFO: Step 003 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 004 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 005 - from (1, 1) to (1, 0) ; cost 1
INFO: Step 006 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 007 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 008 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 009 - from (0, 2) to (0, 1) ; cost 1
INFO: Step 010 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 011 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 012 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 013 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 014 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 015 - from (3, 2) to (1, 2) ; cost 2
INFO: Step 016 - from (1, 2) to (1, 0) ; cost 2
INFO: Step 017 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 018 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 019 - from (2, 3) to (2, 0) ; cost 3
INFO: Path length is 19 steps.
INFO: Path cost is 40 units.
