INFO: Waiting for solution ...
INFO: Algorithm took 0.016 seconds.
INFO: Step 001 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 002 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 003 - from (4, 5) to (4, 0) ; cost 5
INFO: Step 004 - from (4, 0) to (3, 0) ; cost 1
INFO: Step 005 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 006 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 007 - from (0, 2) to (4, 2) ; cost 4
INFO: Step 008 - from (5, 2) to (5, 4) ; cost 2
INFO: Step 009 - from (4, 2) to (0, 2) ; cost 4
INFO: Step 010 - from (0, 2) to (0, 5) ; cost 3
INFO: Step 011 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 012 - from (4, 5) to (4, 0) ; cost 5
INFO: Step 013 - from (4, 0) to (3, 0) ; cost 1
INFO: Step 014 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 015 - from (3, 2) to (5, 2) ; cost 2
INFO: Step 016 - from (5, 2) to (5, 3) ; cost 1
INFO: Step 017 - from (5, 3) to (4, 3) ; cost 1
INFO: Step 018 - from (5, 4) to (0, 4) ; cost 5
INFO: Step 019 - from (0, 4) to (0, 5) ; cost 1
INFO: Step 020 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 021 - from (4, 3) to (4, 4) ; cost 1
INFO: Step 022 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 023 - from (0, 4) to (0, 5) ; cost 1
INFO: Step 024 - from (0, 5) to (3, 5) ; cost 3
INFO: Step 025 - from (3, 5) to (3, 4) ; cost 1
INFO: Step 026 - from (4, 5) to (0, 5) ; cost 4
INFO: Step 027 - from (0, 5) to (0, 0) ; cost 5
INFO: Step 028 - from (0, 0) to (1, 0) ; cost 1
INFO: Step 029 - from (1, 0) to (1, 5) ; cost 5
INFO: Step 030 - from (3, 4) to (0, 4) ; cost 3
INFO: Step 031 - from (0, 4) to (0, 5) ; cost 1
INFO: Step 032 - from (0, 5) to (0, 0) ; cost 5
INFO: Step 033 - from (0, 0) to (1, 0) ; cost 1
INFO: Step 034 - from (1, 0) to (1, 4) ; cost 4
INFO: Step 035 - from (1, 4) to (5, 4) ; cost 4
INFO: Step 036 - from (1, 5) to (1, 0) ; cost 5
INFO: Step 037 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 038 - from (5, 4) to (0, 4) ; cost 5
INFO: Step 039 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 040 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 041 - from (0, 4) to (0, 5) ; cost 1
INFO: Step 042 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 043 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 044 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 045 - from (0, 0) to (1, 0) ; cost 1
INFO: Step 046 - from (1, 0) to (1, 5) ; cost 5
INFO: Step 047 - from (4, 5) to (2, 5) ; cost 2
INFO: Step 048 - from (1, 5) to (0, 5) ; cost 1
INFO: Step 049 - from (0, 5) to (0, 0) ; cost 5
INFO: Step 050 - from (0, 0) to (1, 0) ; cost 1
INFO: Step 051 - from (2, 5) to (0, 5) ; cost 2
INFO: Step 052 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 053 - from (0, 5) to (0, 1) ; cost 4
INFO: Step 054 - from (0, 0) to (1, 0) ; cost 1
INFO: Step 055 - from (0, 1) to (5, 1) ; cost 5
INFO: Step 056 - from (1, 0) to (0, 0) ; cost 1
INFO: Step 057 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 058 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 059 - from (4, 5) to (4, 0) ; cost 5
INFO: Step 060 - from (4, 0) to (3, 0) ; cost 1
INFO: Step 061 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 062 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 063 - from (0, 2) to (5, 2) ; cost 5
INFO: Step 064 - from (5, 1) to (0, 1) ; cost 5
INFO: Step 065 - from (5, 2) to (0, 2) ; cost 5
INFO: Step 066 - from (0, 1) to (0, 0) ; cost 1
INFO: Step 067 - from (0, 0) to (1, 0) ; cost 1
INFO: Path length is 67 steps.
INFO: Path cost is 194 units.
